"Aplazame - Flexible financing","Aplazame - Pago a plazos"
"Aplazame - Pay in 15 days","Aplazame - Pago en 15 días"
"Test Mode (Sandbox)","Modo de Pruebas (Sandbox)"
"Private API Key","Clave API privada"
"Show widget on product page","Mostrar el widget en la página del producto"
"Show widget on cart page","Mostrar el widget en la página del carrito"
"Aplazame 'Flexible financing' Button CSS Selector","Selector CSS del botón 'Pago a plazos' de Aplazame"
"Aplazame 'Pay in 15 days' Button CSS Selector","Selector CSS del botón 'Pago en 15 días' de Aplazame"
"Automatic invoice generation","Facturar automáticamente"
"Applicable only if the payment was successful.","Genera factura si el pago es correcto."
"Use Magento native refund method","Usar la devolución nativa de Magento"
"By selecting 'NO', you are indicating that 'Refund offline' operations will also apply to Aplazame credit. We recommend selecting 'YES' so you can either make refunds by cash or by Aplazame credit. Please note: 'YES' option will be the only one supported in future versions.","Seleccionando 'NO', estás indicando que la operación 'Devolución offline' aplicará también al crédito de Aplazame. Recomendamos seleccionar 'SI' para que puedas elegir hacer devoluciones en metálico o con el crédito de Aplazame. Advertencia: 'SI' será la única opción soportada en el futuro."
"Authentication header format is invalid.","La cabecera Authentication es inválida."
"Authentication header is absent.","La cabecera Authentication está ausente."
"Your order has expired.","Tu compra ha expirado."
"Cannot add the item to shopping cart.","No se puede añadir el producto al carro de compra."
"Associate to Aplazame Campaigns","Asociar a las campañas Aplazame"
"Remove from Aplazame Campaigns","Eliminar de las campañas Aplazame"
"Campaigns","Campañas"
"Aplazame Campaigns","Campañas Aplazame"
"Associate products to selected campaigns","Asociar productos a las campañas seleccionadas"
"Remove products from selected campaigns","Eliminar productos de las campañas seleccionadas"
"The campaign applies to all products from your catalogue","La campaña aplica a todo el catálogo de productos"
